# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep 24 09:34:30 2018
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
#
loc_rowid,kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec
18,10485250,K00745.01,FALSE POSITIVE,16.469837740,180.8817610,9.43780,1.0479e+04,7.94,595.0,29.61,303.40,5152.00,4.517,0.7860,297.154420,47.668701
19,10526549,K00746.01,CONFIRMED,9.273581730,173.2581550,3.28750,1.2883e+03,2.47,649.0,41.85,87.20,4856.00,4.583,0.6960,288.138240,47.724449
20,10583066,K00747.01,CONFIRMED,6.029303290,171.6029590,1.58210,1.9127e+03,2.85,678.0,50.04,65.40,4537.00,4.648,0.6720,283.710880,47.863270
21,10583180,K00748.01,FALSE POSITIVE,2.696370652,170.7376900,3.61290,3.9790e+02,1.58,1066.0,305.34,48.20,4989.00,4.504,0.8190,283.765470,47.804298
22,10601284,K00749.01,CONFIRMED,5.349553819,171.8069400,3.02780,8.3100e+02,2.55,919.0,168.99,60.60,5185.00,4.440,0.9100,292.376130,47.880989
23,10601284,K00749.02,CONFIRMED,3.941052210,136.0866200,2.59840,3.6330e+02,1.70,1018.0,253.15,28.90,5185.00,4.440,0.9100,292.376130,47.880989
24,10601284,K00749.03,CONFIRMED,8.109048070,132.8031000,3.59600,2.1740e+02,1.30,800.0,97.03,14.10,5185.00,4.440,0.9100,292.376130,47.880989
25,2306756,K00113.01,FALSE POSITIVE,386.603052800,166.3420790,6.80570,2.4927e+04,41.50,297.0,1.84,994.00,5543.00,4.081,1.5800,292.273740,37.671558
26,10662202,K00750.01,CONFIRMED,21.676991930,171.5359400,3.45550,8.5720e+02,2.95,530.0,18.64,34.30,4954.00,4.500,0.8280,290.465120,47.929180
27,10682541,K00751.01,CONFIRMED,4.996779680,171.7420800,2.17170,9.3470e+02,2.78,917.0,166.95,28.20,5339.00,4.552,0.8470,297.808260,47.946671
28,11460018,K00769.01,CONFIRMED,4.280963604,171.8965900,2.87500,7.5080e+02,2.30,1012.0,247.87,61.80,5644.00,4.564,0.8310,294.265810,49.314091
29,11463211,K00770.01,FALSE POSITIVE,1.506354090,170.9980640,1.51550,2.2117e+03,4.53,1452.0,1054.12,181.10,5714.00,4.563,0.8310,295.665220,49.351009
30,11465813,K00771.01,FALSE POSITIVE,670.645531000,209.0435500,53.41200,1.8091e+04,14.14,196.0,0.35,642.70,5520.00,4.466,0.9830,296.698610,49.316479
31,11493732,K00772.01,FALSE POSITIVE,61.256362800,173.8382600,7.63300,5.1233e+03,39.87,505.0,15.43,85.30,6144.00,4.402,1.0910,283.725920,49.479519
32,11507101,K00773.01,CONFIRMED,38.377548600,172.8204800,5.58800,7.2420e+02,2.82,529.0,18.53,34.70,5481.00,4.369,1.0360,291.722020,49.480869
33,10910878,K00757.02,CONFIRMED,41.197255020,165.0040400,4.62970,2.2139e+03,3.86,439.0,8.76,51.20,5031.00,4.485,0.8480,286.999480,48.375790
34,10910878,K00757.03,CONFIRMED,6.252962249,171.3012600,2.58190,1.0369e+03,2.65,823.0,108.30,47.10,5031.00,4.485,0.8480,286.999480,48.375790
35,10987985,K00758.01,CONFIRMED,16.013084190,176.3608000,3.25540,1.1219e+03,3.10,593.0,29.31,33.20,5015.00,4.499,0.8260,297.025630,48.478588
36,11018648,K00759.01,CONFIRMED,32.628766720,194.1019000,4.79710,1.8048e+03,3.36,506.0,15.55,80.00,5586.00,4.560,0.7980,285.718540,48.505859
37,11018648,K00759.02,CONFIRMED,91.773286200,193.8378000,6.47300,6.5200e+02,2.12,359.0,3.92,19.10,5586.00,4.560,0.7980,285.718540,48.505859
38,11138155,K00760.01,CANDIDATE,4.959319244,172.2585292,2.22739,9.8020e+03,12.21,1103.0,349.40,696.50,5712.00,4.359,1.0820,292.167050,48.727589
39,11152159,K00761.01,FALSE POSITIVE,2.701287801,170.6957900,3.38270,8.6040e+02,6.54,1222.0,527.81,48.30,5550.00,4.468,0.9100,297.923650,48.777321
40,11153539,K00762.01,CONFIRMED,4.498765110,171.3490500,3.73620,4.6000e+02,2.10,1133.0,389.62,29.50,6075.00,4.486,0.9690,298.456850,48.791592
41,11242721,K00763.01,FALSE POSITIVE,19.651209505,179.4019810,5.25140,1.1766e+04,12.42,730.0,67.03,513.40,6074.00,4.391,1.0630,291.093900,48.933842
42,9579641,K00115.01,CONFIRMED,5.412203927,133.1430890,2.94720,6.0160e+02,2.94,1093.0,337.68,166.70,5779.00,4.339,1.0870,287.887330,46.276241
43,11304958,K00764.01,CONFIRMED,41.439586620,208.9320300,10.59890,2.7931e+03,5.50,516.0,16.72,141.10,5468.00,4.367,1.0460,295.555050,49.017342
44,11391957,K00765.01,CONFIRMED,8.353895230,171.6325700,2.25140,1.0416e+03,2.52,790.0,91.90,43.40,5592.00,4.582,0.7870,285.499240,49.277351
45,11403044,K00766.01,CONFIRMED,4.125543472,169.7525850,3.17440,1.4873e+03,4.43,1243.0,565.35,128.60,6174.00,4.417,1.1030,291.936160,49.253979
46,11414511,K00767.01,CONFIRMED,2.816504904,170.9676846,2.50587,1.6814e+04,12.21,1219.0,521.13,1406.80,5532.00,4.452,0.9550,297.015470,49.225288
47,11442465,K00768.01,FALSE POSITIVE,33.933734470,186.6760800,14.56100,8.5037e+03,7.34,430.0,8.11,236.10,5040.00,4.628,0.7050,284.172330,49.360722
48,12110942,K00786.01,CONFIRMED,3.689920099,170.3657100,2.65570,4.2670e+02,1.89,1147.0,408.99,35.60,5880.00,4.518,0.9170,291.622410,50.618240
49,12366084,K00787.01,CONFIRMED,4.431238488,171.0150000,3.15000,1.0109e+03,3.25,1104.0,351.23,71.10,5714.00,4.428,1.0150,295.816160,51.121738
50,12366084,K00787.02,CONFIRMED,11.379369860,133.8499200,2.62550,1.0235e+03,3.95,806.0,99.68,37.90,5714.00,4.428,1.0150,295.816160,51.121738
51,12404086,K00788.01,CONFIRMED,26.394328970,176.0545900,3.57300,1.5109e+03,3.07,489.0,13.49,48.20,5129.00,4.595,0.7630,289.399720,51.250320
52,8395660,K00116.01,CONFIRMED,13.570782810,136.2791940,3.35390,5.1170e+02,2.64,785.0,89.61,88.40,5854.00,4.406,1.0120,300.863980,44.337551
53,9579641,K00115.02,CONFIRMED,7.125943870,139.0049200,3.00140,1.9240e+02,1.79,997.0,233.31,47.10,5779.00,4.339,1.0870,287.887330,46.276241
54,11656840,K00774.01,FALSE POSITIVE,7.442652004,169.9717797,2.30780,2.4446e+04,15.03,967.0,206.78,835.60,6108.00,4.469,0.9560,288.986820,49.733742
55,11754553,K00775.01,CONFIRMED,16.384899880,172.7278200,3.02490,1.1271e+03,2.00,433.0,8.35,28.90,4126.00,4.661,0.6150,286.738040,49.975750
56,11754553,K00775.02,CONFIRMED,7.877416300,176.3759000,2.08050,1.3061e+03,2.16,553.0,22.18,38.70,4126.00,4.661,0.6150,286.738040,49.975750
57,11754553,K00775.03,CONFIRMED,36.445400100,151.6012500,4.00700,1.1223e+03,1.99,332.0,2.88,21.70,4126.00,4.661,0.6150,286.738040,49.975750
58,11812062,K00776.01,CONFIRMED,3.728732147,171.7932550,2.68300,5.2265e+03,6.02,1023.0,258.34,345.20,5497.00,4.577,0.8090,290.785740,50.054119
59,11818800,K00777.01,CANDIDATE,40.419503700,173.5646900,3.36200,6.2560e+03,7.51,467.0,11.29,36.90,5446.00,4.507,0.7810,294.316860,50.080231
60,11853255,K00778.01,CONFIRMED,2.243380573,170.6792330,1.11960,8.2170e+02,1.99,822.0,107.60,38.90,4149.00,4.698,0.5640,285.176210,50.149818
61,11909839,K00779.01,FALSE POSITIVE,10.405998015,177.1974660,6.50360,1.4489e+04,11.23,833.0,113.94,745.20,5746.00,4.393,0.9240,289.235530,50.241001
62,11918099,K00780.01,CONFIRMED,2.337437946,171.7619820,1.99820,9.7120e+02,2.34,1070.0,311.16,82.40,5005.00,4.595,0.7650,293.833310,50.230350
63,11918099,K00780.02,CANDIDATE,7.240661200,137.7554500,0.55800,5.5640e+02,19.45,734.0,68.63,13.70,5005.00,4.595,0.7650,293.833310,50.230350
64,9579641,K00115.03,CANDIDATE,3.435916310,132.6624000,3.13300,2.3200e+01,0.55,1272.0,617.61,8.70,5779.00,4.339,1.0870,287.887330,46.276241
65,11923270,K00781.01,CONFIRMED,11.598222330,180.3953760,2.52370,2.8045e+03,2.65,396.0,5.82,71.00,3688.00,4.790,0.4730,296.221950,50.287220
66,11960862,K00782.01,CONFIRMED,6.575315881,173.6340440,4.30840,2.7933e+03,5.31,1015.0,251.38,221.10,5992.00,4.415,0.9890,290.098050,50.321609
67,12020329,K00783.01,CONFIRMED,7.275040844,169.9942170,7.53770,3.0010e+03,4.86,833.0,113.64,312.10,5485.00,4.556,0.8670,295.455290,50.494560
68,12066335,K00784.01,CONFIRMED,19.271538920,186.7709300,2.75940,1.2198e+03,1.93,393.0,5.66,37.10,4077.00,4.702,0.5600,293.973360,50.531910
69,12066335,K00784.02,CONFIRMED,10.065243170,136.2890600,1.36900,1.0533e+03,1.91,488.0,13.43,30.30,4077.00,4.702,0.5600,293.973360,50.531910
70,12070811,K00785.01,CONFIRMED,12.393565100,178.7472500,3.88960,9.1660e+02,2.66,677.0,49.68,35.80,5557.00,4.603,0.7500,296.021330,50.567780
71,8395660,K00116.02,CONFIRMED,43.844397210,151.9353800,6.80200,6.1520e+02,2.87,531.0,18.77,83.70,5854.00,4.406,1.0120,300.863980,44.337551
72,3120431,K00798.01,FALSE POSITIVE,3.341913228,171.6394300,3.81300,7.2530e+02,21.55,1032.0,268.67,39.00,5295.00,4.551,0.8110,292.315950,38.270290
73,3246984,K00799.01,CANDIDATE,1.626630225,169.8201710,2.11450,1.6206e+03,32.43,1547.0,1355.88,103.60,5735.00,4.410,0.9730,294.368190,38.310280
74,3342970,K00800.01,CONFIRMED,2.711504086,170.0341700,3.00990,8.3750e+02,3.12,1420.0,960.79,64.50,6214.00,4.442,1.0760,291.653530,38.494659
75,3342970,K00800.02,CONFIRMED,7.212037480,172.8178200,4.04910,9.5040e+02,3.32,1025.0,260.58,51.50,6214.00,4.442,1.0760,291.653530,38.494659
76,12459725,K00789.01,FALSE POSITIVE,14.179818700,171.5023700,2.50500,4.5990e+02,1.88,711.0,60.35,11.20,5799.00,4.539,0.8780,291.044800,51.321671
77,12470844,K00790.01,CONFIRMED,8.472379110,174.1621200,2.72450,1.1235e+03,2.59,751.0,75.44,47.60,5354.00,4.587,0.7880,296.366520,51.319519
78,12470844,K00790.02,CONFIRMED,60.418936900,181.1636700,5.03900,9.3130e+02,2.36,390.0,5.49,20.10,5354.00,4.587,0.7880,296.366520,51.319519
79,12644822,K00791.01,CONFIRMED,12.611904345,180.8922840,5.14970,6.1056e+03,7.40,753.0,76.15,277.20,5795.00,4.508,0.9190,289.112210,51.737381
80,2440757,K00792.01,FALSE POSITIVE,1.433769925,170.4035360,1.88680,1.9763e+03,46.58,1920.0,3209.29,112.60,6017.00,4.220,1.3390,290.843690,37.728828
81,2445129,K00793.01,FALSE POSITIVE,10.318723010,173.3154300,3.83600,8.7170e+02,28.59,876.0,139.26,38.20,5927.00,4.409,1.0600,291.848910,37.713501
82,2713049,K00794.01,CONFIRMED,2.539183147,169.6749400,2.42820,3.8210e+02,2.06,1332.0,743.09,38.90,5519.00,4.350,1.0620,291.439970,37.905659
83,3114167,K00795.01,CONFIRMED,6.770300385,170.5766200,2.08440,1.3040e+03,2.77,812.0,102.87,50.80,5653.00,4.656,0.6790,290.870510,38.273628
84,3114661,K00796.01,FALSE POSITIVE,0.444291966,169.8654060,2.07920,1.0967e+04,27.51,1836.0,2706.26,299.70,5255.00,4.678,0.6360,290.996890,38.284920
85,3115833,K00797.01,CANDIDATE,10.181584004,177.1418910,3.50890,5.7411e+03,7.73,812.0,102.91,183.60,5988.00,4.541,0.8360,291.281950,38.241669
86,4139816,K00812.02,CONFIRMED,20.060363360,147.4655400,3.32030,1.4947e+03,1.96,361.0,4.00,35.20,3950.00,4.754,0.4930,286.079130,39.278320
87,4139816,K00812.03,CONFIRMED,46.184203900,165.2372900,4.75800,1.3947e+03,1.83,273.0,1.32,26.00,3950.00,4.754,0.4930,286.079130,39.278320
88,8395660,K00116.04,CONFIRMED,23.980085400,147.5370000,5.35100,1.0400e+02,1.31,649.0,41.94,17.10,5854.00,4.406,1.0120,300.863980,44.337551
89,4139816,K00812.04,CONFIRMED,7.825021680,136.5499500,2.18600,5.2080e+02,1.20,494.0,14.05,15.90,3950.00,4.754,0.4930,286.079130,39.278320
90,4275191,K00813.01,CONFIRMED,3.895936525,170.5275520,2.31110,8.5448e+03,7.34,1005.0,241.62,370.80,5557.00,4.592,0.7740,294.655240,39.308361
91,4476123,K00814.01,CONFIRMED,22.366464660,175.4586200,5.22800,9.8680e+02,2.32,536.0,19.45,32.10,5395.00,4.615,0.7340,294.710630,39.521740
92,3351888,K00801.01,CONFIRMED,1.625522174,170.8266564,2.38963,7.9690e+03,9.73,1579.0,1467.41,799.70,5539.00,4.322,1.1060,293.871920,38.422939
93,3453214,K00802.01,CANDIDATE,19.620346923,181.8818190,2.00380,2.1725e+04,13.60,643.0,40.39,340.50,5710.00,4.492,0.9050,293.816190,38.563568
94,3554600,K00803.01,FALSE POSITIVE,7.544039000,171.7982000,6.22200,3.2260e+02,17.47,838.0,116.46,14.20,5657.00,4.567,0.8240,293.941160,38.601101
95,3641726,K00804.01,CANDIDATE,9.029306890,177.2042200,3.14490,1.0198e+03,2.57,757.0,77.75,53.90,5349.00,4.526,0.8200,290.333620,38.728230
96,3734868,K00805.01,FALSE POSITIVE,10.328035714,174.5810540,7.79150,1.6918e+04,13.28,843.0,119.31,636.80,5627.00,4.359,1.0240,287.696750,38.886452
97,3832474,K00806.01,CONFIRMED,143.206304700,154.2355200,8.93020,1.0566e+04,8.90,308.0,2.14,138.80,5485.00,4.556,0.8670,285.283630,38.947281
98,8395660,K00116.03,CONFIRMED,6.164876000,135.6391600,3.26200,5.5800e+01,0.79,1021.0,256.35,14.40,5854.00,4.406,1.0120,300.863980,44.337551
99,3832474,K00806.02,CONFIRMED,60.324942160,243.8925780,6.61880,2.0280e+04,12.19,411.0,6.77,347.20,5485.00,4.556,0.8670,285.283630,38.947281
100,3832474,K00806.03,CONFIRMED,29.159861500,150.6992200,4.80300,4.8800e+02,1.91,524.0,17.85,11.60,5485.00,4.556,0.8670,285.283630,38.947281
101,3836375,K00807.01,FALSE POSITIVE,1.540397253,170.5047900,2.15410,8.1610e+02,25.69,1470.0,1105.68,38.80,5663.00,4.530,0.9150,286.926390,38.921631
102,3838486,K00808.01,FALSE POSITIVE,2.990254430,171.9834000,5.41400,5.8920e+02,1.70,918.0,168.45,48.50,4667.00,4.578,0.7310,287.748810,38.929550
103,3935914,K00809.01,CONFIRMED,1.594745374,170.6483505,1.96040,1.5044e+04,11.30,1539.0,1329.42,1009.30,5934.00,4.491,0.8930,285.213810,39.027481
104,3940418,K00810.01,CANDIDATE,4.783002698,170.5084340,2.33500,1.0087e+03,2.50,886.0,145.48,70.60,5170.00,4.574,0.8070,287.093990,39.060719
105,4049131,K00811.01,CONFIRMED,20.505889210,181.4342800,4.05950,2.1055e+03,3.41,518.0,17.06,78.50,4905.00,4.544,0.7610,289.315430,39.153278
106,4139816,K00812.01,CONFIRMED,3.340218842,171.9790620,1.91040,1.6326e+03,2.03,656.0,43.73,71.60,3950.00,4.754,0.4930,286.079130,39.278320
107,5287983,K00828.01,FALSE POSITIVE,2.507089906,171.0024550,2.00670,1.3392e+03,30.26,1326.0,730.47,64.90,5926.00,4.506,0.9390,295.378050,40.493401
108,5358241,K00829.01,CONFIRMED,18.649327280,174.7710000,4.40560,8.9360e+02,3.12,701.0,57.13,46.10,5775.00,4.405,1.0530,290.461760,40.562462
109,10875245,K00117.02,CONFIRMED,4.901449760,138.6054800,4.16540,1.4070e+02,1.70,1262.0,598.74,50.60,5847.00,4.191,1.4020,297.028260,48.208611
110,5358241,K00829.02,CONFIRMED,9.751921010,138.7860800,4.79300,4.1800e+02,2.76,870.0,135.66,28.50,5775.00,4.405,1.0530,290.461760,40.562462
111,5358241,K00829.03,CONFIRMED,38.557654600,163.8506300,5.79400,9.9300e+02,4.02,550.0,21.71,39.70,5775.00,4.405,1.0530,290.461760,40.562462
112,5358624,K00830.01,CONFIRMED,3.525632539,170.0479951,2.59959,2.2335e+04,11.58,975.0,213.12,1996.70,5150.00,4.572,0.7930,290.581730,40.577400
113,4544670,K00815.01,CANDIDATE,34.843986440,172.6332520,2.93150,4.5236e+03,7.61,511.0,16.10,76.80,5509.00,4.482,0.8710,285.920010,39.624828
114,4664847,K00816.01,CONFIRMED,7.748094239,174.9972060,3.59570,2.4721e+03,5.52,964.0,204.39,113.20,5973.00,4.439,1.0850,294.489900,39.771439
115,4725681,K00817.01,CONFIRMED,23.967936690,186.2218200,3.82700,1.1823e+03,1.80,329.0,2.77,27.50,3747.00,4.728,0.5240,283.866390,39.898079
116,4913852,K00818.01,CONFIRMED,8.114374820,176.3396800,2.27360,1.5580e+03,2.10,460.0,10.55,56.40,3692.00,4.753,0.5170,288.812010,40.033401
117,4932348,K00819.01,FALSE POSITIVE,38.036729482,196.9349470,4.34617,8.2872e+04,27.50,500.0,14.81,1300.00,5575.00,4.521,0.9320,294.147890,40.055538
118,4936180,K00820.01,FALSE POSITIVE,4.640900310,173.6463800,35.51200,2.4506e+03,30.09,1155.0,421.08,296.90,6463.00,4.500,0.8260,295.113710,40.071171
119,11913073,K00011.01,FALSE POSITIVE,3.747838198,171.6650400,5.06420,6.1600e+02,13.65,1031.0,266.76,138.20,5514.00,4.569,0.8260,291.061520,50.265129
120,10875245,K00117.01,CONFIRMED,14.749148250,138.7779900,6.09950,4.3020e+02,2.89,874.0,137.91,107.40,5847.00,4.191,1.4020,297.028260,48.208611
121,5021899,K00821.01,CONFIRMED,21.812959960,174.0108500,4.37910,1.1754e+03,3.38,639.0,39.33,37.80,5601.00,4.410,0.9990,294.776860,40.153740
122,5077629,K00822.01,FALSE POSITIVE,7.919369370,172.1810920,3.31480,1.5148e+04,10.34,814.0,104.00,389.00,5690.00,4.588,0.7760,283.538450,40.217999
123,5115978,K00823.01,CANDIDATE,1.028436523,170.2285820,1.86060,8.0980e+03,72.77,1947.0,3400.48,89.60,6228.00,4.428,0.9900,296.006990,40.295429
124,5164255,K00824.01,CONFIRMED,15.375623690,173.6140200,3.31690,1.5337e+04,11.01,600.0,30.54,166.00,4986.00,4.496,0.8330,283.253540,40.358189
125,5252423,K00825.01,CONFIRMED,8.103632710,176.9486000,3.16100,8.8790e+02,2.11,687.0,52.82,39.30,4861.00,4.574,0.7320,283.221410,40.421829
126,5252423,K00825.02,CONFIRMED,4.715108430,134.9617800,2.50600,4.1750e+02,1.46,823.0,108.84,21.30,4861.00,4.574,0.7320,283.221410,40.421829
127,5272878,K00826.01,CONFIRMED,6.365839713,171.1357500,2.97210,7.8070e+02,2.44,914.0,165.33,70.80,5776.00,4.554,0.8490,291.149510,40.420521
128,5283542,K00827.01,FALSE POSITIVE,5.975817540,174.7760200,3.06500,9.6240e+02,3.86,1047.0,284.25,50.30,6108.00,4.471,0.9970,294.223970,40.417858
129,5649215,K00839.01,FALSE POSITIVE,2.446737317,170.6695100,4.72110,1.1779e+03,26.25,1261.0,597.19,110.20,5764.00,4.548,0.8630,298.961120,40.862808
130,5651104,K00840.01,CONFIRMED,3.040330460,169.9490106,1.84110,1.0859e+04,8.99,1021.0,257.29,568.20,5035.00,4.519,0.7910,299.316100,40.822380
131,5792202,K00841.01,CONFIRMED,15.335286750,174.0027800,3.89700,3.0814e+03,5.00,610.0,32.67,86.60,5251.00,4.581,0.8170,292.236760,41.085880
132,10875245,K00117.04,CONFIRMED,7.958253280,137.8021900,4.37700,5.0000e+01,1.06,1074.0,314.15,14.70,5847.00,4.191,1.4020,297.028260,48.208611
133,5792202,K00841.02,CONFIRMED,31.330461350,153.4303100,5.17600,5.0738e+03,6.50,481.0,12.61,117.20,5251.00,4.581,0.8170,292.236760,41.085880
134,5370302,K00831.01,FALSE POSITIVE,3.904342500,173.3937340,3.83100,1.6228e+04,12.28,1104.0,351.05,323.40,5810.00,4.526,0.8980,294.056760,40.549679
135,5372966,K00832.01,FALSE POSITIVE,9.286358079,171.8214689,3.49949,4.4791e+04,17.61,796.0,95.03,1671.10,5670.00,4.523,0.8210,294.743960,40.533920
136,5376067,K00833.01,FALSE POSITIVE,3.951405455,173.2761250,2.18620,2.4539e+03,31.44,1133.0,388.71,117.20,6046.00,4.539,0.8690,295.504390,40.505489
137,5436502,K00834.01,CONFIRMED,23.653694150,171.3761070,8.21830,3.3418e+03,7.89,731.0,67.65,266.30,5739.00,4.191,1.3840,287.897130,40.637821
138,5436502,K00834.02,CONFIRMED,13.233522140,140.3219600,6.73720,5.0460e+02,3.06,888.0,146.67,49.10,5739.00,4.191,1.3840,287.897130,40.637821
139,5436502,K00834.03,CONFIRMED,6.155602850,134.8165600,4.98430,2.8500e+02,2.32,1146.0,406.94,35.10,5739.00,4.191,1.3840,287.897130,40.637821
140,5436502,K00834.04,CONFIRMED,2.090811305,134.1746200,3.38800,1.1590e+02,1.62,1642.0,1718.04,19.90,5739.00,4.191,1.3840,287.897130,40.637821
141,10875245,K00117.03,CONFIRMED,3.180027898,133.4986300,3.57970,1.2030e+02,1.53,1458.0,1066.86,50.40,5847.00,4.191,1.4020,297.028260,48.208611
142,5436502,K00834.05,CONFIRMED,50.446741700,178.5014000,7.15900,3.7030e+02,2.67,568.0,24.64,19.40,5739.00,4.191,1.3840,287.897130,40.637821
143,5456651,K00835.01,CONFIRMED,11.763071640,180.9361300,2.90760,1.0373e+03,2.35,616.0,33.99,48.90,4959.00,4.603,0.7560,294.202150,40.663410
144,5456651,K00835.02,CONFIRMED,56.227927100,132.2925900,3.57000,8.6270e+02,2.37,366.0,4.22,20.90,4959.00,4.603,0.7560,294.202150,40.663410
145,5481416,K00836.01,FALSE POSITIVE,2.384052875,171.5836200,3.09180,1.2681e+03,17.06,1010.0,244.87,50.50,4794.00,4.580,0.7010,299.642850,40.691238
146,5531576,K00837.01,CONFIRMED,7.953547000,174.6622400,2.63120,8.7540e+02,2.25,696.0,55.37,38.40,4768.00,4.536,0.7790,291.158780,40.750271
147,5531576,K00837.02,CONFIRMED,4.144516560,135.9283100,2.34210,3.9180e+02,1.48,864.0,132.08,22.80,4768.00,4.536,0.7790,291.158780,40.750271
148,5534814,K00838.01,FALSE POSITIVE,4.859386384,173.0114690,2.27570,6.0443e+03,38.33,1114.0,364.23,269.70,6072.00,4.470,0.9880,292.214360,40.759762
